id,domain,type,question,A,B,C,D,answer,explanation,tags
1,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
2,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
3,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
4,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
5,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
6,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
7,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
8,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
9,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
10,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
11,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
12,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
13,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
14,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
15,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
16,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
17,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
18,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
19,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
20,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
21,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
22,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
23,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
24,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
25,Architecture,single,Which plane is responsible for making routing decisions?,Data plane,Control plane,Management plane,Forwarding plane,B,Routing protocols operate in the control plane.,planes;routing
26,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
27,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
28,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
29,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
30,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
31,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
32,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
33,Infrastructure,single,Which protocol uses Hello packets to establish neighbor adjacencies?,BGP,OSPF,FTP,SNMP,B,OSPF uses Hello packets to discover neighbors.,ospf;routing
