id,section,type,question,A,B,C,D,answer,explanation
1,Essential AI Knowledge,single,"Which statement BEST describes the difference between AI, ML, and Deep Learning?",AI and ML are identical; deep learning is unrelated,ML is a subset of AI; Deep Learning is a subset of ML,AI is a subset of ML; Deep Learning is broader than AI,Deep Learning replaces traditional AI entirely,B,
2,Essential AI Knowledge,single,What primarily enabled the rapid acceleration of modern AI adoption?,Larger CPUs,Blockchain,GPU parallelism + Big data + Transformer architectures,Faster hard drives,C,
3,Essential AI Knowledge,single,"During training, what operation updates model weights?",Forward propagation,Inference,Backpropagation,Tokenization,C,
4,Essential AI Knowledge,single,Which workload is MOST latency-sensitive?,Model training for LLM,Batch data preprocessing,Real-time inference in an autonomous vehicle,Offline hyperparameter tuning,C,
5,Essential AI Knowledge,single,What is the primary architectural difference between CPUs and GPUs?,GPUs have fewer but faster cores,CPUs are optimized for massively parallel workloads,GPUs have many parallel cores optimized for throughput,CPUs do not support AI workloads,C,
6,Essential AI Knowledge,single,What is the purpose of Tensor Cores?,Storage compression,Accelerated matrix operations for AI workloads,Network packet routing,CPU virtualization,B,
7,Essential AI Knowledge,single,NVLink compared to PCIe provides:,Lower bandwidth,Higher bandwidth and lower latency between GPUs,Cloud connectivity,CPU memory access only,B,
8,Essential AI Knowledge,single,Which NVIDIA software component is specifically optimized for inference performance?,CUDA,cuDNN,TensorRT,NCCL,C,
9,Essential AI Knowledge,single,What does NCCL primarily handle?,Data preprocessing,GPU-to-GPU communication for distributed workloads,Model compression,Hyperparameter tuning,B,
10,Essential AI Knowledge,single,"In the AI lifecycle, what happens immediately after training?",Data ingestion,Hyperparameter tuning,Validation/testing,Monitoring,C,
11,AI Infrastructure,single,What is the difference between scale-up and scale-out?,Scale-up adds more nodes; scale-out adds more GPUs in one node,Scale-up adds GPUs inside a node; scale-out adds more nodes,They are identical,Scale-up refers to cloud only,B,
12,AI Infrastructure,single,A company trains large LLMs across many nodes. Which networking solution is MOST appropriate?,Standard 1G Ethernet,Wi‑Fi 6,InfiniBand with RDMA,SATA storage links,C,
13,AI Infrastructure,single,What does RDMA enable?,Faster disk formatting,Remote direct memory access without CPU involvement,GPU overclocking,CPU-only clustering,B,
14,AI Infrastructure,single,East-west traffic in AI clusters refers to:,User-to-datacenter traffic,GPU-to-GPU / node-to-node communication,Internet traffic,Backup operations,B,
15,AI Infrastructure,single,Why do AI workloads heavily stress networking infrastructure?,They require internet browsing,Large model parameter synchronization across nodes,They use minimal data,GPUs cannot store data,B,
16,AI Infrastructure,single,What is the primary function of a DPU?,Replace GPUs,"Offload networking, security, and storage tasks from CPUs",Replace CPUs entirely,Train models independently,B,
17,AI Infrastructure,multi,Which is a benefit of workload offloading to a DPU? (Select TWO),Increased CPU availability,Lower GPU temperature,Improved workload isolation,Larger model sizes,A;C,
18,AI Infrastructure,single,High rack power density in AI data centers requires:,Lower airflow,Liquid cooling solutions,Smaller GPUs,Reduced redundancy,B,
19,AI Infrastructure,single,A company wants full control over sensitive healthcare data and low latency. Best deployment choice?,Public cloud only,On-prem infrastructure,Shared Wi‑Fi cluster,Consumer laptops,B,
20,AI Infrastructure,single,"In a cluster, what is the primary role of a head node?",Perform GPU computation,Manage scheduling and orchestration,Replace storage,Provide cooling,B,
21,AI Operations,single,Low GPU utilization over long periods indicates:,Efficient infrastructure,Resource underutilization and wasted cost,Overheating,High throughput,B,
22,AI Operations,single,Kubernetes is primarily used for:,Cooling management,Container orchestration,GPU manufacturing,AI model training directly,B,
23,AI Operations,single,Slurm is commonly used for:,Social media analytics,Job scheduling in HPC/AI clusters,Network encryption,Data labeling,B,
24,AI Operations,single,MIG (Multi-Instance GPU) allows:,Multiple independent GPU partitions on a single physical GPU,Cross-cloud replication,CPU virtualization,Model compression,A,
25,AI Operations,single,When is GPU partitioning MOST useful?,When running a single massive training job,When running multiple smaller inference workloads,When disabling GPUs,During cooling failures,B,
26,AI Operations,single,Capacity planning helps prevent:,Model accuracy,Hardware shortages and bottlenecks,GPU upgrades,Dataset preprocessing,B,
27,AI Operations,single,Which metric helps detect failing hardware?,Token length,ECC errors,Batch size,Prompt length,B,
28,AI Operations,single,What is a key tradeoff of virtualization?,Always improves raw performance,Some performance overhead,Removes need for GPUs,Eliminates scheduling,B,
29,Scenario,single,"A startup is building a real-time fraud detection system. They need low-latency inference, moderate model size, and elastic scaling. Best infrastructure choice?",Large on-prem LLM training cluster,Cloud-based GPU inference deployment,CPU-only cluster,Offline batch system,B,
30,Scenario,single,A research lab is training a trillion-parameter model and sees network bottlenecks between nodes. What should they improve FIRST?,Add more storage,Upgrade to high-bandwidth InfiniBand,Reduce GPU count,Increase cooling,B,
